DCID,DCID2,CITIZENSHIP,SEX,RACE.S.,HS.QPA,FIRST.GEN
85221_2_F21_DC109963,DC109963,U,F,A,4,N
76247_2_F21_DC151237,DC151237,U,M,A,3.93,N
82273_1_S22_DC218271,DC218271,U,F,A,4,N
85221_2_F21_DC240712,DC240712,N,F,A,4,N
84389_1_S25_DC243570,DC243570,U,F,W,4,N
79211_F25_DC25633,DC25633,,,,,
76247_2_F21_DC258508,DC258508,U,F,W,4,N
84389_1_S25_DC26026,DC26026,U,M,A,4,Y
82273A_1_F24_DC26027,DC26027,N,F,A,4,N
84389_1_S25_DC26052,DC26052,U,F,AHW,4,Y
DC26068,DC26068,U,F,W,3.87,N
82273A_1_F24_DC26091,DC26091,U,M,W,3.86,N
82270_1_F24_DC26122,DC26122,U,M,A,3.79,N
84389_1_S25_DC26131,DC26131,U,M,A,4,Y
82273A_1_F24_DC26148,DC26148,N,M,A,4,N
82273A_1_F24_DC26170,DC26170,N,F,A,4,Y
82273A_1_F24_DC26265,DC26265,U,F,A,4,N
84389_1_S25_DC26294,DC26294,U,M,W,3.89,N
84389_1_S25_DC26323,DC26323,U,M,AW,4,N
82270_1_F24_DC26332,DC26332,U,M,W,3.92,N
82270_1_F24_DC26337,DC26337,U,M,A,3.93,N
84389_1_S25_DC26353,DC26353,U,M,A,3.93,N
DC269296,DC269296,,,,,
85221_2_F21_DC280995,DC280995,U,F,A,3.82,N
76247_2_F21_DC293286,DC293286,U,M,W,3.94,Y
85221_2_F21_DC303004,DC303004,N,M,A,3.95,N
DC303939,DC303939,U,F,A,4,N
82273A_1_F24_DC308874,DC308874,N,M,A,4,N
84389_1_S25_DC308984,DC308984,U,M,A,4,Y
84389_1_S25_DC311115,DC311115,U,M,A,4,N
82273_2_S23_DC335314,DC335314,U,F,U,3.83,N
84389_1_S25_DC339937,DC339937,U,M,HW,3.42,N
82270_1_F24_DC348458,DC348458,N,F,A,4,N
85221_2_F21_DC373098,DC373098,U,F,AW,3.98,Y
76247_2_F21_DC399646,DC399646,U,M,W,4,N
82270_1_F24_DC402763,DC402763,,,,,
84389_1_S25_DC432602,DC432602,U,F,A,3.93,N
82273_1_S22_DC442301,DC442301,U,F,A,4,N
82273_1_S22_DC481748,DC481748,,,,,
DC520475,DC520475,U,F,W,3.93,N
79211_2_F25_DC550896,DC550896,U,F,A,3.81,N
82270_1_F24_DC560050,DC560050,U,F,A,4,N
82273_1_S22_DC564554,DC564554,N,M,A,3.96,N
76247_2_F21_DC581293,DC581293,U,F,U,3.92,N
76247_2_F21_DC582382,DC582382,U,F,U,3.88,N
DC588720,DC588720,U,M,W,4,N
82273A_1_F24_DC590394,DC590394,N,M,A,3.78,N
85221_2_F21_DC620173,DC620173,U,F,W,3.91,N
82273_2_S23_DC629177,DC629177,U,F,W,4,N
84389_1_S25_DC657285,DC657285,U,M,A,4,N
82273_1_S22_DC657660,DC657660,P,F,A,4,N
82273_1_S22_DC703107,DC703107,U,M,A,4,N
79211_1_F25_DC728001,DC728001,U,M,A,4,N
82273_2_S23_DC752893,DC752893,U,F,A,4,N
82273A_1_F24_DC774063,DC774063,U,M,A,4,Y
82270_1_F24_DC800345,DC800345,U,F,A,3.93,N
79211_1_F25_DC814090,DC814090,U,M,A,3.93,N
82273_1_S22_DC817208,DC817208,N,F,A,4,N
82270_1_F24_DC823360,DC823360,U,M,A,3.89,Y
82273_1_S22_DC828399,DC828399,U,M,W,4,N
82273A_1_F24_DC863354,DC863354,U,F,A,3.78,N
85221_2_F21_DC896512,DC896512,U,F,B,4,N
84389_1_S25_DC936881,DC936881,U,M,AW,4,N
79211_1_F25_DC961916,DC961916,N,M,A,4,N
82273_2_S23_DC969766,DC969766,N,F,A,3.87,N
DCF24146,DCF24146,U,M,A,,N
84389_1_S25_DCF24162,DCF24162,U,F,W,,N
79211_1_F25_DCF24179,DCF24179,N,M,A,,N
DCF2430,DCF2430,U,M,W,,Y
DCF2432,DCF2432,U,F,A,,N
79211_1_F25_DCF2439,DCF2439,U,F,W,,N
79211_1_F25_DCF2486,DCF2486,U,F,W,,N
F25254,F25254,U,M,PW,,N
79211_2_F25_F25890,F25890,N,F,A,,N