Timestamp,Department,Course Number,Semester,DCID (EX: DC1233 or DCF2456),Assignment (Early or Late),"Assignment Type
(This is labeled in the data assignment spreadsheet).",CXT1,CXT1 Comments,CXT2a,CXT2a Comments,CXT2b,CXT2b Comments,CXT3,CXT3 Comments,CXT4a,CXT4a Comments,CXT4b,CXT 4b Comments,Overall Comments/Concerns,Coder,"Number of Pages
(Type the number of pages in the artifact. For instance, if an artifact has 12 pages, type 12.)"
5/14/2026 19:36:51,Psychology,85221,F21,DC620173,Late,Final Paper,3.5,"clearly identifies the subject, hypothesis, and frames it around specific how and why questions about decision-making and development",2,"mixed sources and might not all be very good sources, I'm not too sure",2.5,"theories are used along with interview findings, good clarity",NA,"There is some engagement with generational differences, but I don't think the analysis are connected that well ",2,"3 theoretical traditions are identified and described, but not used effectively",NA,"Contains personal beliefs about parenting, grounded in the interview analysis and theoretical frameworks",,Lulu,
5/14/2026 21:44:46,Psychology,85221,F21,DC620173,Late,Final Paper,3.5,clearly state the previous studies and research questions,3,An appropriate amount of source materials,2.5,have information but do not support all major statements,NA,N/A,2,identified,NA,N/A,,Grace,
5/15/2026 5:00:43,Psychology,85221,F21,DC620173,Late,Final Paper,3,"The author well describes who, what, where, when, why, and how as the paper well describes the background of the interviewees and the following outcomes. ",2,"The variability of the interviewees backgrounds is not diverse. But throughout the paper, the author does mentions and applies official resources. ",2,"When explaining the claims the author made, the author frequently uses the official resources but not constantly. ",NA,,2,"The overall idea of the paper developed over time by adding on different new information. However, it feels like the author was revolving around the similar concept too much. ",NA,,,Noah,
5/15/2026 16:06:26,Psychology,85221,F21,DC240712,Late,Final Paper,1.929,Stated the factors,2,,2.571,,,,2.286,,,,,Reconciled Code,6
5/19/2026 21:00:22,LCAL,82273,F24,DC26027,Late,Final Paper,2,"The paper talks regarding the background info about high school girl Japan and China uniform with the valid facts following behind them. However, there isn't that much depth to it. ",2,"The paper has 3 anime as its evidence and each anime doesn't overlap when it comes to ideas but explains different points regarding the JK culture. However, since these are anime not official sources, I wanted to give 2 rather than 3. ",3.5,The paper utilizes the anime's as evidence very well as the paper explains each in detail in how they shaped different aspects of the JK culture. Each anime doesn't overlap but supports each other points. ,3,The paper starts talking about the idea since 19th century with valid reasonings. ,2.5,"The idea developed very well over time as each anime talks about different aspects about JK not overlapping. However, it was hard to connect all of these ideas. ",2,"The student does talk about the student's own way of thinking but it is only shown at the end of the paper, making it hard to connect with multiple ideas shown in the paper. ",,Noah,19
5/18/2026 12:13:33,Psychology,85221,F21,DC373098,Late,Final Paper,2.9,,2.8,,3,,,,3,,,,,Reconciled Code,8
5/18/2026 12:17:34,Psychology,85221,F21,DC280995,Late,Final Paper,2,,1.625,,2,,,,2,,,,,Reconciled Code,5
5/18/2026 12:30:33,Psychology,85221,F21,DC109963,Late,Final Paper,2.5,,1.714,,1.714,,NA,,2,,NA,,,Reconciled Code,10
5/19/2026 21:39:28,LCAL,82273,F24,DC26027,Late,Final Paper,3,The student clearly states all the factors in the rubric and uses source materials to support them.,2.5,The student used adequate and meaningful evidence throughout the whole article.,2.5,The source materials are used to support most but not all major points.,3,The student identifies the subject of study and also explains how it relates to the Japanese social phenomenon.,2.5,"The student identifies a tradition, but how this tradition is connected to the way of thinking is not explained fully.",1.5,"The student did not show many personal thoughts in this article, but shows more on the reflection of this film.",,Grace,19
5/21/2026 15:20:30,LCAL,82273,F24,DC26027,Early,Short Paper,2,,2,,3,,2,,2,,1.75,,,Reconciled Code,6
5/21/2026 15:28:53,LCAL,82273,F24,DC26091,Early,Short Paper,2,,2,,3,,2,,2,,1,,,Reconciled Code,8
5/20/2026 0:33:28,LCAL,82273,F24,DC26148,Late,Final Paper,3,"The student identifies 3 factors that will influence their analysis of hikikomori, framing in how and what questions. The student then uses background information from relevant scholarly source material to justify the approach for these 3 factors by motivating their potential effects to creating hikikomori. Eventually, the student will analyze these factors with their analysis of the book ""Welcome to the NHK"" as well as other sources to explore each of the factor's relationship with hikikomori and connect to the overall issue of hikikomori in Japan. ",3,"The student uses appropriate and relevant source materials to motivate the study of hikikomori. The student also included 5 different source materials, which is more than enough for the minimum requirement of the assignment. ",3.5,"The student provides a good amount of information from each of the source materials to support the major points of their hypothesis and the research questions/factors. Their interpretations of the source materials was also well explained for each major point. However, the student could have incorporated more source material to support their point when talking about the influence of economic stagnation on hikikomori. ",3,"The student does a good job explaining at how hikikomori was a result of the rapid economic growth of Japan after World War II, and the cultural and economic effects of the economic growth on the expectations of the younger generations from parents and society, which leads to the widespread issue of hikikomori in the 1980s and 1990s. ",3,"The student explores and explains the different cultural and social dynamics that contributes to hikikomori in Japan and talks about how these dynamics change throughout the period of post-WW2 and the 1990s. The student also talks about how these dynamics and factors have caused Japanese parents to think differently about what is defined as a successful child in their eyes, further explaining the development of Japanese ways of thinking over time. ",3,"The student reflects on how hikikomori is reflected in other East Asian countries like China, which is the culture that the student comes from, and more broadly explores how the pressure of meeting cultural and social expectations affect the younger generations mentally, leading to social issues such as hikikomori. The student clearly explains their own way of thinking and connects it to the cultural and social factors explored in their discussions of the study results, influencing his way of thinking about people dealing with hikikomori such as having more empathy for them. ",,Jerry,15
5/20/2026 1:03:40,LCAL,82273,F24,DC26148,Late,Final Paper,3,clearly stated the questions and claims within context ,2.5,good amount of peer reviewed academic sources on top on the primary source,2.5,sources are used and cited consistently but analysis feels more like summary than well applied,2.5,"had a lot of analysis and well applied within context (postwar, WWII)",2,mention of traditional values like conformity and more,3,"had good reflection of their own and applied well in the paper, their chinese background and how it shifted",,Lulu,15
5/20/2026 13:05:52,LCAL,82273,F24,DC26148,Late,Final Paper,3.5,The student tackles the topic from a variety of perspectives that provides a bigger picture. There is also scholarly sources provided.,3,The student provides a variety of sources that support their claim throughout the paper,3.5,Sources are referenced to when needed to support the paper.,2.5,"While the student does meet the criteria, I think there was so much more potential to include more specific information that would strengthen the paper even more. ",3,Multiple traditions are described as well as how they have evolved over time in the context of the subject,3.5,I think the conclusion portion was very well written as the student included their own thoughts while summarizing the points they had investigated on. ,,Henry,15
5/21/2026 17:19:00,LCAL,82273,F24,DC26148,Early,Short Paper,1.833,,3,,2.667,,2,,2,,2,,,Reconciled Code,5
5/21/2026 17:26:15,LCAL,82273,F24,DC26170,Early,Short Paper,2,,2.667,,2.833,,1.5,,2,,2.5,,,Reconciled Code,7
6/8/2026 13:00:45,LCAL,82273,F24,DC26170,Late,Final Paper,2.667,,2.333,,2.333,,2,,3,,2.667,,needed to reconcile on cxt3 and cxt4a,Reconciled Code,18
5/19/2026 0:27:51,LCAL,82273,F24,DC26265,Early,Short Paper,2.5,"For some factors (which are the cultural beliefs in Japan during the 1980s), the student clearly explains how these factors were used to analyze Japanese culture in the 1980s, such as comparing modern-day cultures to 1980s Japanese culture through the film. However, for some factors, the student doesn't do quite as a good job explaining the factors' influence on the analysis of the film and Japanese culture. ",3,"The student used scenes from the film ""Tampopo"" to support their answers, which are appropriate to the instructions of the paper. The instructions for the paper didn't ask for the use of other source materials other than the film. Therefore the quantity of source materials is appropriate for this paper.",3,The student does explain and interpret specific scenes in the film well to support the major points in their answers for each question. However there are a couple of points that were not entirely addressed with the scenes in the film. ,3,The student does a good job at describing how their family culture in the modern day is different from Japanese culture in the 1980s when describing the appeal of Tampopo and Goro. The student goes into detail the different aspects of a successful woman in each cultures through mostly comprehensive explanations.,2.5,"The student does mention the different methods they used to analyze the film from a Japanese cultural perspective in the 1980s but doesn't acknowledge how these methods change over time. However, the student does use a cultural approach for the cultures comparison and explains how society has changed from 1980s to present-day. ",2,"The student describes the ideas of an ideal woman in their own culture as comparison to Japanese culture in the 1980s when looking at Tampopo and her character traits. However the student doesn't really acknowledge the connection between their thinking and the cultural approach, so the connection feels weak and underdeveloped. ",,Jerry,7
5/19/2026 0:44:13,LCAL,82273,F24,DC26265,Early,Short Paper,1.5,the main subject/points are implied and not really directly framed like a claim,2.5,"film mainly used as primary source, use of other cultural context ",3,Film scenes are used with detail and cultural concepts are connected to them with reasonable clarity,2,"The 1980s context is used and compared, analysis a bit lacking and how it developed",2,"Multiple cultural traditions are named and applied well, not much on how they were shaped",2.5,personal reflection were well applied throughout,,Lulu,7
5/20/2026 8:41:33,LCAL,82273,F24,DC26265,Late,Final Paper,3,The student frames fundamental questions and they directly connects to the main points of the paper as the fundamental questions play a big role for the main idea for this paper. ,1.5,The student does gain credible sources when it comes to the perspective of the Japanese people but it lacks when it comes to the perspective of the tourist as it is purely based on their opinion and also lacks in quantity wise. ,3,"The student uses the survey, credible sources for the japanese perspective and some other credible sources to fill in the gaps. ",1,The paper only briefly talks about the past when it talks regarding the tourism in the past. And nothing else. ,2,The idea did develop over time but it felt like it was revolving around the same idea. ,1,The paper does not talk about the student's opinion that can contribute to the major point but only talks briefly at the end. ,,Noah,19
5/20/2026 9:53:49,LCAL,82273,F24,DC26265,Early,Short Paper,2.5,No scholarly material the only reason why it is not a 3,3,Movie was well utilized,3,There were continuous references back to the film,2.5,Pretty good but could have been developed a little more. ,2,Not described very thoroughly,2,The student describes their own way of thinking but it is also not developed very much,There are many points which are mentioned but could have been expanded upon further,Henry,7
5/20/2026 14:11:10,LCAL,82273,F24,DC26265,Late,Final Paper,2.5,"The student developed the background well, but does not use outside evidence to support the relationship between these factors.",2.5,The student gives an appropriate amount of evidence and sources.,2,The source materials are used to support most but not all the major points.,1.5,I think the student only mentions but does not develop much on the social phenomenon.,1.5,The student does not discuss how this tradition is developed in detail.,1.5,The student does not show a lot of personal thoughts throughout the article.,,Grace,19
5/20/2026 8:00:02,LCAL,82273,F24,DC308874,Late,Final Paper,2,Does explains the background context but doesn't use scholars evidence,1.5,Some evidences used were film which I think is unreliable but some are reliable as they are articles and books. ,3,The paper went back and fourth between multiple sources to fill in possible gaps. ,2,"The paper does analyze recent past with the film high and low. However, some ideas did not originate from high and low, making it miss some major points. ",2.5,"With the 2 films being major evidences, the idea developed over time by using necessary infos needed. Rather than pin pointing a single film and talking about it, the paper went back and forth to show necessary points and some flaws with its counter measures to develop the ideas. ",1,The student barely talks about the own way of thinking regarding the topic. The student does talks about how the student thinks but it is just saying how the student felt than the way of thinking. ,,Noah,21
5/20/2026 13:53:26,LCAL,82273,F24,DC308874,Late,Final Paper,2,"clearly states the background, but does not use source materials to support the points",2,The student provides source materials of mostly an appropriate quantity.,2,"The student gives some explanations of the source materials, but not all of them support the major points.",2,"The student points out the social phenomenon in the article, but does not have in-depth explanations.",2,"There is some connection to the tradition, but it is undeveloped and unexplained how this is connected to the ways of thinking developed over time.",1.5,"The article is mostly about literation review and film reflection, so it lacks the student's personal thoughts.",,Grace,21
5/21/2026 17:13:40,LCAL,82273,F24,DC308874,Early,Short Paper,2,,2.667,,3,,2,,2.167,,2.333,,,Reconciled Code,13
5/18/2026 22:38:31,LCAL,82273,F24,DC590394,Early,Short Paper,2.5,"The student explains the multitude of factors that help contribute to the success of Tampopo and her ramen shop in the film. The student summarizes Tampopo's development throughout the film, stating how she continued to persevered through the struggles of learning how to make good ramen through the help of Goro's teaching. However, the student could have used specific scenes from the film to support these factors and connect to the student's answers for the other questions. ",3,"The student used scenes from the film ""Tampopo"" to support their answers, which are appropriate to the instructions of the paper. The instructions for the paper didn't ask for the use of other source materials other than the film. Therefore the quantity of source materials is appropriate for this paper.",3,The student does utilize certain scenes that served as strong evidence for their answer to each of the questions by providing adequate information and interpreting them in a way that is relevant to the context of the question and answer. ,3,"When asked about the appeal of Tampopo and Goro compared to modern standards in different cultures, the student does a good job at explaining each character's appeal to the Japanese audience in the 1980s and then relating it to them to other cultures in modern day society. However the explanations can be more comprehensive. ",2.5,"The student describes and connects the different Japanese cultural beliefs to the characters and scenes in the film. The student also applies a cultural approach to the characters and film. However, the student doesn't explicitly explain how these ideas in Japan have changed over time.",2.5,"The student uses their modern-day culture as comparison to Japanese culture in 1980s when talking about the character of Tampopo and Goro. However, that connection between their culture and the Japanese culture in the 1980s could be developed slightly more to reach a 3.",,Jerry,8
5/19/2026 0:17:12,LCAL,82273,F24,DC590394,Early,Short Paper,2,"since it's more direct questions and answers, do include who and what factors ",2,use of primary source (the film) and other cultural concepts but not much other outside independent sources are used,3,good use of the film itself with specific references,3,"good use of culture in historical context, especially 1980s japan",2.5,"had several cultural traditions and were pretty specific, also mentions how they changed over time",2,did show personal reflection about the topics but weren't that deep/connected,,Lulu,8
5/20/2026 9:15:04,LCAL,82273,F24,DC590394,Early,Short Paper,2.5,"Good continuous mentions to why the subject of study should be examined the way it should be, but no connections to scholarly sources which doesn't allow this to go to a 3",3,Lots of references to different Japanese terminologies and concepts ,3,I think there was a lot of examples taken from the source material that gives this a high score,2,"While covered, this was not covered as thoroughly throughout the paper.",2.5,A tradition is identified but not really expanded upon how it developed,1.5,There is not as much connection between the student's own thinking and the tradition,I think it's overall solid,Henry,8
5/19/2026 1:05:53,LCAL,82273,F24,DC774063,Early,Short Paper,2,more specific/clear compared to the other essays,2.5,film used primarily and other references ,3,scenes are describes in detail and used accurately,2.5,consistently uses analysis with 1980s context and draws comparison,2.5,many traditions were said but could be analyzed better with context and other connections,2.5,personal reflections were thoughtful and used with detail,,Lulu,10
5/19/2026 22:26:16,LCAL,82273,F24,DC774063,Early,Short Paper,3,"The student does a really good job at justifying the methods they used to analyze the film from the lens of a Japanese person in the 1980s and its culture in that time period. The student gives examples from the film for each methods and how its relates to some of the answers in the beginning of the paper. Therefore the student clearly describes the factors that influence their analysis of Tampopo, Goro, and the film. ",3,"The student used scenes from the film ""Tampopo"" to support their answers, which are appropriate to the instructions of the paper. The instructions for the paper didn't ask for the use of other source materials other than the film. Therefore the quantity of source materials is appropriate for this paper.",3,"The student provides adequate context from each of the scenes in their answers to support the major points for each question. The student's interpretations of those scenes were relevant to the context of the questions, thus supporting the most of the major points of each answer. ",3,"When talking about the cultural differences in a successful professional woman, the student comprehensively describes they are different in relation to 1980s with the modern day. The student also clearly explains how Goro is different from modern day male heroes, but with acknowledgement on the differences between the 1980s and modern day. ",2,"When explaining their approaches to analyzing the film, the student identifies Japanese cultural traditions but doesn't acknowledge how these traditions changed over time. The student only explained how these traditions influenced their analysis of the film.  ",3,"The student uses the ideas and beliefs from their own culture to compare the idea of an ideal professional woman to those ideas and beliefs from 1980s Japanese culture. Therefore the student is incorporating their own thinking into the cross-cultural analysis of Tampopo. Additionally, the student uses traits of a modern-day male hero in their culture and compares it to Goro. ",,Jerry,10
5/20/2026 1:30:02,LCAL,82273,F24,DC774063,Late,Final Paper,3,the questions were well stated and good framing within context,3,"there's a good variety of sources (peer reviewed journals, government documents, surveys, and more)",2.5,"sources are cited consistently and tied to major points throughout, feel like was a lot on backing up on claims",3,robust references throughout history and good connections of comparison between different time periods,2.5,mentioned how specific traditions developed through specific historical events,3,have good personal reflection and interpretation and is connected with the rest of the paper,,Lulu,19
5/20/2026 11:31:48,LCAL,82273,F24,DC774063,Late,Final Paper,3,The student identifies a bunch of factors will influence their analysis of the integration of robotics into Japanese society and reframes these factors into questions of how and what for their research. The student then explains how these factors will influence their analysis of robotics in Japanese society by connecting it to the overall topic of the paper. The student also uses scholarly source materials to introduce each of these factor's relationship to the paper's topic before diving into the discussion and analysis of their study results. The student also justifies his study approach of using survey methodology for the topic at hand. ,3,"The student uses a lot of appropriate and relevant source materials that motivate the study of robotics in Japanese society. The student uses survey methods to get results about the different opinions on the use of robotics in Japan across different generations, which are relevant to answering the proposed research questions. The amount of source materials is more than enough for the required amount for the assignment. However, I did feel like some of the source materials were not as rigorous as the other source materials, such as a sponsored article from the government of Japan included in the assignment. ",2,"The student provides adequate information and interpretations from their research surveys to support the major points that they want to address in the paper. However, it felt like the other source materials excluding the surveys didn't support any of the major points made in the paper, but rather used to motivate the subject of the study.",2.5,"The student provides a lot of context into the historical development of robotics in Japanese society from the post war period to present-day Japan at the beginning of the paper to motivate the study. The explanations were pretty comprehensive but when discussing the results of the surveys and connecting it to the research questions, the student briefly states the change over time with regards to the opinions of Japanese society and integration of robotics into Japanese society.  ",3,The student describes a lot of Japanese cultural traditions and concepts and how these traditions are incorporated and developed into the development and integration of robotics in Japanese society.,2.5,The student does a good job at explaining his own thinking of Japanese society as a whole when reflecting on the analysis and discussion of the results from their study. The student includes Japanese cultural concepts into his reflections of how Japan integrates robotics into their society but the connection between their thinking and these traditions are slightly underdeveloped and lack some crucial explanations. ,,Jerry,19
5/20/2026 12:43:33,LCAL,82273,F24,DC774063,Early,Short Paper,2.5,Good synthesis but no scholarly source,3,Strong use of film,3,Good use of the film as well as introducing and mentioning other cultural topics.,2.5,There was a few many mentions referring to changes over different time periods.,3,The specific tradition of Japanese culture was explored in depth for the paper.,2.5,The student states their own opinion and backs it up through the tradition framework. ,,Henry,10
5/22/2026 12:58:02,LCAL,82273,F24,DC774063,Late,Final Paper,3,,3,The student chose a wide variety of sources that helped strengthen the paper.,3,Sources were referred to when necessary throughout the paper that strengthened it overall. ,2.5,There were mentions but the explanations were not as in depth as they could have been,3,These were covered in depth throughout the entire paper. ,2.5,"There are definitely mentions, but considering the length of the paper, this could have been developed a little more.",I think it is an overall solid paper that covers most of the key points,Henry,19
5/18/2026 5:09:18,LCAL,82273,F24,DC863354,Early,Short Paper,1.5,"The paper does discuss about the settings, time, and who but doesn't explain fully regarding the other aspects. The paper was more shifted on Japanese culture itself than answering the questions",1.5,There is only one source but is rigor and relevant to the topic,3,"Since the main source was the film, I could see that the ideas were building off from the points from the film. Hence supporting the major points. ",1,The paper mostly talks about the scene of the time the film was set in. The only time the paper talked about the past was at the beginning when mentioning the idealized women and talking about other recent films. ,1,The paper talked mostly about the student's thoughts rather than talking about past theories and reasoning how they develop certain ideas. ,2.5,The paper shows strong opinions about the writer and some includes normative traditions while some other lacks. ,,Noah,6
