ARTIFACT,CXT 1,CXT 2a,CXT 2b,CXT 3,CXT 4a,CXT 4b,,CXT LEARNING OUTCOME,ASSIGNMENT TYPE,ASSIGNMENT TIME
82273_F24_DC26027_Early,range of 0,range of > 1,range of 0,range of > 1,range of ≤ 1,range of ≤ 1,,CXT 1,,
82273_F24_DC26091_Early,range of ≤ 1,range of > 1,range of 0,range of > 1,range of ≤ 1,range of > 1,,CXT 2a,,
82273_F24_DC26148_Early,range of ≤ 1,range of > 1,range of ≤ 1,range of > 1,range of 0,range of ≤ 1,,CXT 2b,,
82273_F24_DC26170_Early,range of 0,range of ≤ 1,range of ≤ 1,range of > 1,range of 0,range of > 1,,CXT 3,,
82273_F24_DC26265_Early,range of ≤ 1,range of ≤ 1,range of 0,range of ≤ 1,range of ≤ 1,range of ≤ 1,,CXT 4a,,
82273_F24_DC308874_Early,range of ≤ 1,range of ≤ 1,range of 0,range of > 1,range of ≤ 1,range of ≤ 1,,CXT 4b,,
82273_F24_DC590394_Early,range of ≤ 1,range of ≤ 1,range of 0,range of ≤ 1,range of 0,range of ≤ 1,,,,
82273_F24_DC774063_Early,range of ≤ 1,range of ≤ 1,range of 0,range of ≤ 1,range of ≤ 1,range of ≤ 1,,,,
82273_F24_DC863354_Early,range of ≤ 1,range of ≤ 1,range of 0,range of 0,range of ≤ 1,range of ≤ 1,,,,
82273_F24_DC26027_Late,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of 0,range of 0,range of ≤ 1,,,,
82273_F24_DC26148_Late,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,,,,
82273_F24_DC26170_Late,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of > 1,range of > 1,range of ≤ 1,,,,
82273_F24_DC26265_Late,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,,,,
82273_F24_DC308874_Late,range of 0,range of ≤ 1,range of ≤ 1,range of 0,range of ≤ 1,range of ≤ 1,,,,
82273_F24_DC774063_Late,range of 0,range of 0,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,,,,
82273_F24_DC863354_Late,range of 0,range of ≤ 1,range of 0,range of ≤ 1,range of ≤ 1,range of 0,,,,
84389_S25_DC26026_Late,range of ≤ 1,range of 0,range of 0,range of 0,range of 0,range of ≤ 1,,,,
84389_S25_DC26052_Late,range of ≤ 1,range of ≤ 1,range of 0,range of 0,range of ≤ 1,range of ≤ 1,,,,
84389_S25_DC26323_Late,range of 0,range of ≤ 1,range of ≤ 1,range of 0,range of ≤ 1,range of 0,,,,
84389_S25_DC26353_Late,range of 0,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,,,,
84389_S25_DC308984_Late,range of ≤ 1,range of 0,range of 0,range of 0,range of ≤ 1,range of ≤ 1,,,,
84389_S25_DC311115_Late,range of ≤ 1,range of ≤ 1,range of 0,range of ≤ 1,range of ≤ 1,range of 0,,,,
84389_S25_DCF24162_Late,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,range of ≤ 1,,,,
85221_F21_DC109963_Late,range of > 1,range of > 1,range of > 1,NA,range of > 1,NA,,,,
85221_F21_DC240712_Late,range of > 1,range of > 1,range of > 1,NA,range of ≤ 1,NA,,,,
85221_F21_DC280995_Late,range of > 1,range of ≤ 1,range of ≤ 1,NA,range of 0,NA,,,,
85221_F21_DC373098_Late,range of ≤ 1,range of ≤ 1,range of > 1,NA,range of ≤ 1,NA,,,,
85221_F21_DC620173_Late,range of ≤ 1,range of ≤ 1,range of ≤ 1,NA,range of 0,NA,,,,